play_id,game_date,home_team,away_team,play_fileName
1592,00:00.0,NE,PIT,NULL
1609,00:00.0,NE,PIT,002_056
1640,00:00.0,NE,PIT,002_057
1664,00:00.0,NE,PIT,002_058
1686,00:00.0,NE,PIT,NULL
1704,00:00.0,NE,PIT,002_059
1729,00:00.0,NE,PIT,NULL
1746,00:00.0,NE,PIT,002_060
1767,00:00.0,NE,PIT,002_061
1796,00:00.0,NE,PIT,NULL
1813,00:00.0,NE,PIT,NULL
1830,00:00.0,NE,PIT,002_062
1852,00:00.0,NE,PIT,NULL
1873,00:00.0,NE,PIT,NULL
1889,00:00.0,NE,PIT,NULL
1910,00:00.0,NE,PIT,NULL
1926,00:00.0,NE,PIT,NULL
1941,00:00.0,NE,PIT,002_063
1966,00:00.0,NE,PIT,002_064
1987,00:00.0,NE,PIT,NULL
2008,00:00.0,NE,PIT,002_065
2032,00:00.0,NE,PIT,002_066
2053,00:00.0,NE,PIT,002_067
2074,00:00.0,NE,PIT,002_068
2099,00:00.0,NE,PIT,002_069
2132,00:00.0,NE,PIT,002_070
2155,00:00.0,NE,PIT,002_071
2176,00:00.0,NE,PIT,NULL
2192,00:00.0,NE,PIT,NULL
2208,00:00.0,NE,PIT,002_072
2229,00:00.0,NE,PIT,002_073
2254,00:00.0,NE,PIT,002_074
2276,00:00.0,NE,PIT,002_075
2297,00:00.0,NE,PIT,002_076
2318,00:00.0,NE,PIT,NULL
2337,00:00.0,NE,PIT,002_077
2361,00:00.0,NE,PIT,002_078
2380,00:00.0,NE,PIT,002_079
2396,00:00.0,NE,PIT,NULL
2412,00:00.0,NE,PIT,002_080
2442,00:00.0,NE,PIT,002_081
2466,00:00.0,NE,PIT,002_082
2491,00:00.0,NE,PIT,002_083
2510,00:00.0,NE,PIT,NULL
2535,00:00.0,NE,PIT,002_084
2556,00:00.0,NE,PIT,002_085
2577,00:00.0,NE,PIT,002_086
2599,00:00.0,NE,PIT,002_087
2623,00:00.0,NE,PIT,002_088
2648,00:00.0,NE,PIT,002_089
2669,00:00.0,NE,PIT,002_090
2693,00:00.0,NE,PIT,NULL
2709,00:00.0,NE,PIT,002_091
2730,00:00.0,NE,PIT,002_092
2755,00:00.0,NE,PIT,NULL
2788,00:00.0,NE,PIT,002_094
2812,00:00.0,NE,PIT,002_095
2834,00:00.0,NE,PIT,NULL
2857,00:00.0,NE,PIT,002_096
2879,00:00.0,NE,PIT,NULL
2898,00:00.0,NE,PIT,NULL
2920,00:00.0,NE,PIT,002_097
2944,00:00.0,NE,PIT,002_098
2966,00:00.0,NE,PIT,002_099
2987,00:00.0,NE,PIT,002_100
3067,00:00.0,NE,PIT,002_101
3090,00:00.0,NE,PIT,002_102
3114,00:00.0,NE,PIT,002_103
3135,00:00.0,NE,PIT,NULL
3156,00:00.0,NE,PIT,NULL
3193,00:00.0,NE,PIT,002_104
3214,00:00.0,NE,PIT,002_105
3236,00:00.0,NE,PIT,002_106
3258,00:00.0,NE,PIT,NULL
3299,00:00.0,NE,PIT,002_107
3320,00:00.0,NE,PIT,002_108
3342,00:00.0,NE,PIT,002_109
3364,00:00.0,NE,PIT,NULL
3406,00:00.0,NE,PIT,NULL
3425,00:00.0,NE,PIT,002_110
3449,00:00.0,NE,PIT,002_111
3475,00:00.0,NE,PIT,002_112
3496,00:00.0,NE,PIT,002_113
3531,00:00.0,NE,PIT,002_114
3552,00:00.0,NE,PIT,002_115
3576,00:00.0,NE,PIT,002_116
3601,00:00.0,NE,PIT,002_117
3622,00:00.0,NE,PIT,002_118
3644,00:00.0,NE,PIT,NULL
3672,00:00.0,NE,PIT,002_119
3694,00:00.0,NE,PIT,002_120
3720,00:00.0,NE,PIT,002_121
3745,00:00.0,NE,PIT,NULL
3762,00:00.0,NE,PIT,002_122
3784,00:00.0,NE,PIT,002_123
3809,00:00.0,NE,PIT,002_124
3833,00:00.0,NE,PIT,NULL
3850,00:00.0,NE,PIT,002_125
3885,00:00.0,NE,PIT,002_126
3904,00:00.0,NE,PIT,002_127
3929,00:00.0,NE,PIT,NULL
3946,00:00.0,NE,PIT,002_128
3968,00:00.0,NE,PIT,002_129
3993,00:00.0,NE,PIT,NULL
4010,00:00.0,NE,PIT,002_130
4035,00:00.0,NE,PIT,002_131
4055,00:00.0,NE,PIT,NULL
4071,00:00.0,NE,PIT,NULL
4093,00:00.0,NE,PIT,NULL
37,00:00.0,DAL,PHI,NULL
59,00:00.0,DAL,PHI,003_001
83,00:00.0,DAL,PHI,003_002
104,00:00.0,DAL,PHI,003_003
130,00:00.0,DAL,PHI,NULL
158,00:00.0,DAL,PHI,NULL
173,00:00.0,DAL,PHI,003_004
197,00:00.0,DAL,PHI,003_005
221,00:00.0,DAL,PHI,003_006
242,00:00.0,DAL,PHI,003_007
266,00:00.0,DAL,PHI,NULL
289,00:00.0,DAL,PHI,003_008
311,00:00.0,DAL,PHI,NULL
332,00:00.0,DAL,PHI,003_009
361,00:00.0,DAL,PHI,003_010
383,00:00.0,DAL,PHI,NULL
405,00:00.0,DAL,PHI,NULL
427,00:00.0,DAL,PHI,003_011
448,00:00.0,DAL,PHI,003_012
469,00:00.0,DAL,PHI,003_013
493,00:00.0,DAL,PHI,003_014
514,00:00.0,DAL,PHI,003_015
538,00:00.0,DAL,PHI,003_016
559,00:00.0,DAL,PHI,003_017
580,00:00.0,DAL,PHI,003_018
601,00:00.0,DAL,PHI,003_019
622,00:00.0,DAL,PHI,NULL
646,00:00.0,DAL,PHI,003_020
673,00:00.0,DAL,PHI,NULL
692,00:00.0,DAL,PHI,NULL
714,00:00.0,DAL,PHI,003_021
735,00:00.0,DAL,PHI,003_022
759,00:00.0,DAL,PHI,003_023
781,00:00.0,DAL,PHI,003_024
807,00:00.0,DAL,PHI,003_025
828,00:00.0,DAL,PHI,NULL
845,00:00.0,DAL,PHI,003_026
867,00:00.0,DAL,PHI,003_027
893,00:00.0,DAL,PHI,003_028
